YMD,startHMS,startSSM(s),stopSSM(s),idnum,dispersionConstant,burstOrSurvey,electricOrMagnetic,altitude(km),radius(RJ),mshell,mlat(deg),lat(deg),jovigraphic_latitude(deg),centrifugal_latitude(deg),mlt(hours),lt(hours),io_phase(deg),longitude(deg),footlat(deg),footlon(deg)
20200725,070232.000,25352,25358,1,548.832,Survey,Electric,62708,1.8336,6.0875,-57.28,-54.475,-56.3658,-56.4608,10.1483,9.17,290.867,309.4,-66.933,313.761
20200725,070232.000,25352,25358,1,582.199,Survey,Magnetic,62708,1.8336,6.0875,-57.28,-54.475,-56.3658,-56.4608,10.1483,9.17,290.867,309.4,-66.933,313.761
20200725,070238.000,25358,25366,2,1225.284,Survey,Electric,62916,1.8364,6.1344,-57.392,-54.566,-56.451,-56.567,10.146,9.17,290.96,309.54,-67.004,313.913
20200725,070238.000,25358,25366,2,1196.744,Survey,Magnetic,62916,1.8364,6.1344,-57.392,-54.566,-56.451,-56.567,10.146,9.17,290.96,309.54,-67.004,313.913
20200725,070256.000,25376,25392,3,1744.769,Survey,Electric,63568,1.8452,6.2846,-57.743,-54.851,-56.718,-56.8993,10.1393,9.15,291.253,309.987,-67.228,314.394
20200725,070256.000,25376,25392,3,1731.177,Survey,Magnetic,63568,1.8452,6.2846,-57.743,-54.851,-56.718,-56.8993,10.1393,9.15,291.253,309.987,-67.228,314.394
20200725,070342.000,25422,25429,4,606.247,Survey,Electric,64792,1.8618,6.5917,-58.393,-55.376,-57.216,-57.5149,10.1324,9.12,291.807,310.886,-67.636,315.307
20200725,070342.000,25422,25429,4,659.975,Survey,Magnetic,64792,1.8618,6.5917,-58.393,-55.376,-57.216,-57.5149,10.1324,9.12,291.807,310.886,-67.636,315.307
20200725,070439.000,25479,25486,5,588.952,Survey,Electric,66481,1.8847,7.0489,-59.272,-56.077,-57.8787,-58.3392,10.1158,9.08,292.567,312.05,-68.181,316.569
20200725,070439.000,25479,25483,5,423.408,Survey,Magnetic,66436,1.8841,7.0366,-59.249,-56.059,-57.8615,-58.3177,10.1163,9.08,292.547,312.02,-68.166,316.536
20200725,070503.000,25503,25509,6,1389.546,Survey,Electric,67177,1.8942,7.2488,-59.629,-56.361,-58.147,-58.674,10.108,9.06,292.88,312.53,-68.4,317.091
20200725,070503.000,25503,25508,6,1372.476,Survey,Magnetic,67162,1.894,7.2441,-59.622,-56.355,-58.1414,-58.667,10.1082,9.06,292.873,312.519,-68.396,317.08
20200725,070513.000,25513,25517,7,610.795,Survey,Electric,67442,1.8978,7.3325,-59.763,-56.468,-58.2475,-58.8,10.105,9.06,293,312.725,-68.482,317.293
20200725,070512.000,25512,25519,7,495.345,Survey,Magnetic,67457,1.898,7.3372,-59.77,-56.473,-58.2531,-58.807,10.1048,9.06,293.007,312.736,-68.487,317.304
20200725,070528.000,25528,25534,8,1850.302,Survey,Electric,67914,1.9042,7.4813,-60,-56.657,-58.4262,-59.024,10.0997,9.04,293.213,313.072,-68.627,317.65
20200725,070534.000,25534,25537,457,963.097,Survey,Electric,68047,1.906,7.5232,-60.067,-56.71,-58.4764,-59.087,10.0982,9.04,293.273,313.169,-68.668,317.751
20200725,070538.000,25538,25542,9,1979.452,Survey,Electric,68180,1.9078,7.565,-60.133,-56.763,-58.5267,-59.15,10.0967,9.04,293.333,313.267,-68.709,317.852
20201230,224756,82076,82080,10,684.53,Survey,Electric,89411,2.1984,6.6004,-53.373,-63.532,-64.8633,-57.3833,7.9588,8.12,177.973,187.857,-77.347,184.051
20201230,224808,82088,82093,11,624.341,Survey,Electric,89778,2.2034,6.6568,-53.476,-63.641,-64.9657,-57.4857,7.9538,8.11,178.14,188.11,-77.442,184.381
20201230,224808,82088,82093,11,678.791,Survey,Magnetic,89778,2.2034,6.6568,-53.476,-63.641,-64.9657,-57.4857,7.9538,8.11,178.14,188.11,-77.442,184.381
20191103,212805,77285,77291,12,596.219,Survey,Electric,68935,1.9099,5.7322,55.653,65.869,67.2873,59.57,21.3033,21.21,330,22.037,81.771,25.145
20191103,212806,77286,77291,12,646.559,Survey,Magnetic,68921,1.9097,5.7329,55.658,65.874,67.2922,59.575,21.3029,21.21,330.012,22.053,81.773,25.186
20191103,212811,77291,77295,13,546.337,Survey,Electric,68794,1.9078,5.7392,55.704,65.918,67.3357,59.62,21.2992,21.2,330.125,22.198,81.789,25.555
20191103,212811,77291,77295,13,754.169,Survey,Magnetic,68794,1.9078,5.7392,55.704,65.918,67.3357,59.62,21.2992,21.2,330.125,22.198,81.789,25.555
20191103,212827,77307,77315,14,1936.928,Survey,Electric,68287,1.9006,5.7644,55.89,66.095,67.5097,59.8,21.2842,21.17,330.575,22.777,81.856,27.033
20191103,212940,77380,77386,15,1174.689,Survey,Electric,66259,1.8717,5.8709,56.642,66.81,68.2128,60.5272,21.217,21.07,332.447,25.165,82.096,33.166
20191103,212940,77380,77386,15,1090.678,Survey,Magnetic,66259,1.8717,5.8709,56.642,66.81,68.2128,60.5272,21.217,21.07,332.447,25.165,82.096,33.166
20191103,212946,77386,77389,16,587.662,Survey,Electric,66132,1.8698,5.8778,56.689,66.855,68.2571,60.5729,21.2125,21.06,332.567,25.317,82.11,33.559
20191103,212946,77386,77389,16,731.479,Survey,Magnetic,66132,1.8698,5.8778,56.689,66.855,68.2571,60.5729,21.2125,21.06,332.567,25.317,82.11,33.559
20191103,213047,77447,77450,17,553.136,Survey,Electric,64414,1.8454,5.9786,57.345,67.457,68.8488,61.2012,21.1515,20.95,334.274,27.47,82.261,39.112
20191103,213048,77448,77455,17,753.773,Survey,Magnetic,64329,1.8442,5.9837,57.378,67.486,68.8778,61.2322,21.1485,20.95,334.359,27.577,82.268,39.388
20191103,213115,77475,77481,18,592.129,Survey,Electric,63583,1.8335,6.0313,57.668,67.75,69.134,61.509,21.122,20.9,335.14,28.561,82.316,41.901
20191103,213115,77475,77481,18,769.353,Survey,Magnetic,63583,1.8335,6.0313,57.668,67.75,69.134,61.509,21.122,20.9,335.14,28.561,82.316,41.901
20191103,213118,77478,77483,19,785.953,Survey,Electric,63513,1.8325,6.0359,57.695,67.775,69.1582,61.5352,21.1195,20.89,335.215,28.656,82.32,42.141
20191103,213118,77478,77483,19,679.601,Survey,Magnetic,63513,1.8325,6.0359,57.695,67.775,69.1582,61.5352,21.1195,20.89,335.215,28.656,82.32,42.141
20191103,213141,77501,77504,20,744.024,Survey,Electric,62893,1.8237,6.0766,57.938,67.995,69.3708,61.7662,21.0975,20.85,335.875,29.488,82.354,44.257
20191103,213141,77501,77507,20,623.25,Survey,Magnetic,62851,1.8231,6.0794,57.954,68.01,69.3853,61.782,21.096,20.85,335.92,29.545,82.356,44.401
20191103,213206,77526,77531,21,2365.373,Survey,Electric,62162,1.8133,6.1264,58.224,68.254,69.6236,62.0421,21.0715,20.8,336.669,30.489,82.387,46.787
20191103,213218,77538,77544,22,596.097,Survey,Magnetic,61812,1.8083,6.1521,58.361,68.377,69.7465,62.1775,21.059,20.78,337.065,30.987,82.396,48.032
20191103,213237,77557,77560,23,557.705,Survey,Electric,61322,1.8013,6.1879,58.553,68.549,69.9186,62.3671,21.0415,20.74,337.619,31.684,82.408,49.776
20191103,213237,77557,77561,23,649.764,Survey,Magnetic,61308,1.8011,6.189,58.559,68.553,69.9235,62.3725,21.041,20.74,337.635,31.703,82.408,49.826
20191103,213300,77580,77586,24,605.329,Survey,Electric,60636,1.7915,6.2387,58.825,68.79,70.1585,62.6325,21.0165,20.69,338.405,32.667,82.422,52.225
20191103,213300,77580,77586,24,646.154,Survey,Magnetic,60636,1.7915,6.2387,58.825,68.79,70.1585,62.6325,21.0165,20.69,338.405,32.667,82.422,52.225
20191103,213433,77673,77676,25,561.424,Survey,Electric,58080,1.7551,6.4538,59.877,69.689,71.0277,63.6295,20.9097,20.49,341.665,36.654,82.373,61.661
20191103,213522,77722,77726,26,525.793,Survey,Electric,56698,1.7354,6.5848,60.45,70.168,71.49,64.178,20.848,20.37,343.6,38.966,82.294,66.852
20191103,213609,77769,77771,27,614.331,Survey,Electric,55413,1.7172,6.716,60.988,70.602,71.91,64.6933,20.785,20.25,345.533,41.215,82.185,71.706
