Rj,Fig2ne,ne^.5,"(ne^,5)x25"
4.00E+00,0.559626098,0.748081612,18.7020403
4.01E+00,0.621971862,0.788651927,19.71629817
4.02E+00,0.69068637,0.83107543,20.77688574
4.03E+00,0.766352193,0.87541544,21.88538601
4.04E+00,0.849597635,0.921736207,23.04340517
4.05E+00,0.941099529,0.970102845,24.25257112
4.06E+00,1.041586134,1.020581273,25.51453181
4.07E+00,1.151840106,1.07323814,26.83095351
4.08E+00,1.27270156,1.128140754,28.20351884
4.09E+00,1.405071199,1.185356992,29.6339248
4.10E+00,1.549913509,1.244955224,31.12388059
4.11E+00,1.708260009,1.307004211,32.67510529
4.12E+00,1.881212541,1.371573017,34.28932543
4.13E+00,2.069946596,1.438730898,35.96827244
4.14E+00,2.275714647,1.508547197,37.71367993
4.15E+00,2.499849489,1.581091234,39.52728084
4.16E+00,2.743767564,1.656432179,41.41080448
4.17E+00,3.00897224,1.734638936,43.36597341
4.18E+00,3.297057046,1.81578001,45.39450026
4.19E+00,3.609708823,1.899923373,47.49808432
4.20E+00,3.948710778,1.987136326,49.67840815
4.21E+00,4.31594541,2.077485357,51.93713393
4.22E+00,4.71339729,2.171035995,54.27589986
4.23E+00,5.143155665,2.267852655,56.69631638
4.24E+00,5.607416859,2.367998492,59.19996231
4.25E+00,6.108486442,2.47153524,61.788381
4.26E+00,6.648781145,2.578523055,64.46307638
4.27E+00,7.230830495,2.68902036,67.22550899
4.28E+00,7.857278131,2.803083683,70.07709206
4.29E+00,8.530882803,2.920767502,73.01918756
4.30E+00,9.254519006,3.042124095,76.05310236
4.31E+00,10.03117725,3.16720338,79.18008451
4.32E+00,10.86396396,3.296052785,82.40131963
4.33E+00,11.75610097,3.428717102,85.71792756
4.34E+00,12.71092464,3.56523837,89.13095925
4.35E+00,13.73188463,3.705655763,92.64139406
4.36E+00,14.82254232,3.850005496,96.25013741
4.37E+00,15.98656891,3.998320761,99.95801904
4.38E+00,17.22774331,4.150631675,103.7657919
4.39E+00,18.54994985,4.306965271,107.6741318
4.40E+00,19.95717599,4.46734552,111.683638
4.41E+00,21.4535101,4.6317934,115.794835
4.42E+00,23.04313944,4.800327014,120.0081754
4.43E+00,24.73034875,4.972961768,124.3240442
4.44E+00,26.51951946,5.149710619,128.7427655
4.45E+00,28.41513001,5.330584396,133.2646099
4.46E+00,30.42175756,5.515592222,137.8898056
4.47E+00,32.54408155,5.704742023,142.6185506
4.48E+00,34.78688953,5.89804116,147.451029
4.49E+00,37.15508597,6.095497188,152.3874297
4.50E+00,39.65370452,6.297118748,157.4279687
