YMD, startHMS, startSSM(s), stopSSM(s), idnum, dispersionConstant, burstOrSurvey, electricOrMagnetic, altitude(km), radius(RJ), mshell, mlat(deg), lat(deg), jovigraphic_latitude(deg), centrifugal_latitude(deg), mlt(hours), lt(hours), io_phase(deg), longitude(deg), footlatClose(deg), footlonClose(deg), footlatFar(deg), footlonFar(deg),plottedFootlat,plottedFootlon
20170327,93031.68,34231.68,34234.27,961,570.125,Burst,Magnetic,50250,1.6473,6.084,-57.31,-67.32,-68.88,-61.13,16.9,16.64,173.6,211.2,-76.248,214.221,53.925,187.523,53.925,187.523
20170327,93037.73,34237.73,34240.32,962,669.059,Burst,Magnetic,50250,1.6473,6.084,-57.31,-67.32,-68.88,-61.13,16.9,16.64,173.6,211.2,-76.248,214.221,53.925,187.523,53.925,187.523
20190212,123134,45094,45094,1034,28.827,Burst,Electric,429900,7.0023,10.715,32.04,25.01,25.41,30.17,0.7607,0.98,137.9,241.1,62.263,208.028,-77.451,268.718,-77.451,268.718
20190212,123134,45094,45094,1034,30.21,Burst,Magnetic,429900,7.0023,10.715,32.04,25.01,25.41,30.17,0.7607,0.98,137.9,241.1,62.263,208.028,-77.451,268.718,-77.451,268.718
20190212,123339,45219,45219,1045,34.526,Burst,Electric,427500,6.9687,10.617,31.99,25.12,25.53,30.19,0.7527,0.97,138.2,242.3,62.472,208.936,-77.262,270.069,-77.262,270.069
20190212,123339,45219,45219,1045,38.791,Burst,Magnetic,427500,6.9687,10.617,31.99,25.12,25.53,30.19,0.7527,0.97,138.2,242.3,62.472,208.936,-77.262,270.069,-77.262,270.069
20190212,123340,45220,45220,1052,35.649,Burst,Magnetic,427500,6.9687,10.617,31.99,25.12,25.53,30.19,0.7527,0.97,138.2,242.3,62.472,208.936,-77.262,270.069,-77.262,270.069
20190212,123340,45220,45220,1052,36.587,Burst,Electric,427500,6.9687,10.617,31.99,25.12,25.53,30.19,0.7527,0.97,138.2,242.3,62.472,208.936,-77.262,270.069,-77.262,270.069
20190212,123342,45222,45222,1053,34.899,Burst,Electric,427500,6.9687,10.617,31.99,25.12,25.53,30.19,0.7527,0.97,138.2,242.3,62.472,208.936,-77.262,270.069,-77.262,270.069
20190212,123430,45270,45270,1055,33.856,Burst,Magnetic,426300,6.9518,10.569,31.96,25.18,25.59,30.2,0.7487,0.97,138.3,243,62.578,209.395,-77.166,270.738,-77.166,270.738
20190212,123430,45270,45270,1055,36.409,Burst,Electric,426300,6.9518,10.569,31.96,25.18,25.59,30.2,0.7487,0.97,138.3,243,62.578,209.395,-77.166,270.738,-77.166,270.738
20190212,123430,45270,45270,1056,20.475,Burst,Electric,426300,6.9518,10.569,31.96,25.18,25.59,30.2,0.7487,0.97,138.3,243,62.578,209.395,-77.166,270.738,-77.166,270.738
20190212,123430,45270,45270,1056,24.733,Burst,Magnetic,426300,6.9518,10.569,31.96,25.18,25.59,30.2,0.7487,0.97,138.3,243,62.578,209.395,-77.166,270.738,-77.166,270.738
20190212,123432,45272,45272,1057,42.978,Burst,Electric,426300,6.9518,10.569,31.96,25.18,25.59,30.2,0.7487,0.97,138.3,243,62.578,209.395,-77.166,270.738,-77.166,270.738
20190212,123459,45299,45299,1058,30.88,Burst,Electric,426300,6.9518,10.569,31.96,25.18,25.59,30.2,0.7487,0.97,138.3,243,62.578,209.395,-77.166,270.738,-77.166,270.738
20190212,123529,45329,45329,1035,25.666,Burst,Magnetic,426300,6.9518,10.569,31.96,25.18,25.59,30.2,0.7487,0.97,138.3,243,62.578,209.395,-77.166,270.738,-77.166,270.738
20190212,123529,45329,45329,1035,32.509,Burst,Electric,426300,6.9518,10.569,31.96,25.18,25.59,30.2,0.7487,0.97,138.3,243,62.578,209.395,-77.166,270.738,-77.166,270.738
20190212,123532,45332,45332,1036,34.356,Burst,Electric,425100,6.935,10.52,31.94,25.24,25.65,30.21,0.7447,0.97,138.5,243.6,62.684,209.857,-77.07,271.403,-77.07,271.403
20190212,123539,45339,45339,1037,43.652,Burst,Electric,425100,6.935,10.52,31.94,25.24,25.65,30.21,0.7447,0.97,138.5,243.6,62.684,209.857,-77.07,271.403,-77.07,271.403
20190212,123542,45342,45342,1038,26.435,Burst,Electric,425100,6.935,10.52,31.94,25.24,25.65,30.21,0.7447,0.97,138.5,243.6,62.684,209.857,-77.07,271.403,-77.07,271.403
20190212,123551,45351,45351,1039,47.129,Burst,Electric,425100,6.935,10.52,31.94,25.24,25.65,30.21,0.7447,0.97,138.5,243.6,62.684,209.857,-77.07,271.403,-77.07,271.403
20190212,123606,45366,45366,1040,32.649,Burst,Electric,425100,6.935,10.52,31.94,25.24,25.65,30.21,0.7447,0.97,138.5,243.6,62.684,209.857,-77.07,271.403,-77.07,271.403
20190212,123730,45450,45450,1041,32.843,Burst,Electric,422700,6.9012,10.424,31.88,25.36,25.77,30.22,0.7368,0.97,138.8,244.8,62.896,210.791,-76.877,272.72,-76.877,272.72
20190212,123732,45452,45452,1042,38.976,Burst,Electric,422700,6.9012,10.424,31.88,25.36,25.77,30.22,0.7368,0.97,138.8,244.8,62.896,210.791,-76.877,272.72,-76.877,272.72
20190212,123740,45460,45460,1043,30.92,Burst,Electric,422700,6.9012,10.424,31.88,25.36,25.77,30.22,0.7368,0.97,138.8,244.8,62.896,210.791,-76.877,272.72,-76.877,272.72
20190212,123757,45477,45477,1044,37.225,Burst,Electric,422700,6.9012,10.424,31.88,25.36,25.77,30.22,0.7368,0.97,138.8,244.8,62.896,210.791,-76.877,272.72,-76.877,272.72
20190212,123815,45495,45495,1046,46.193,Burst,Electric,422700,6.9012,10.424,31.88,25.36,25.77,30.22,0.7368,0.97,138.8,244.8,62.896,210.791,-76.877,272.72,-76.877,272.72
20190212,123820,45500,45500,1047,47.615,Burst,Electric,422700,6.9012,10.424,31.88,25.36,25.77,30.22,0.7368,0.97,138.8,244.8,62.896,210.791,-76.877,272.72,-76.877,272.72
20190212,123838,45518,45518,1048,32.678,Burst,Electric,421500,6.8842,10.376,31.85,25.42,25.83,30.23,0.7329,0.97,139,245.4,63.003,211.263,-76.779,273.373,-76.779,273.373
20190212,123852,45532,45532,1049,38.687,Burst,Electric,421500,6.8842,10.376,31.85,25.42,25.83,30.23,0.7329,0.97,139,245.4,63.003,211.263,-76.779,273.373,-76.779,273.373
20190212,123855,45535,45535,1050,40.627,Burst,Electric,421500,6.8842,10.376,31.85,25.42,25.83,30.23,0.7329,0.97,139,245.4,63.003,211.263,-76.779,273.373,-76.779,273.373
20190212,124013,45613,45613,1051,28.317,Burst,Electric,420300,6.8673,10.329,31.82,25.48,25.9,30.24,0.729,0.97,139.1,246.1,63.111,211.738,-76.681,274.021,-76.681,274.021
20191103,180758,65278,65278,1030,20.892,Burst,Electric,365300,6.0989,8.971,32.26,23.77,24.22,29.63,23.17,23.34,269.7,229.1,59.676,200.976,-77.724,251.747,-77.724,251.747
