Index,Time Start,Time End,Dispersion Constant,Dispersion Error,Burst/Survey,Electric/Magnetic,Notes
1,07/25/2020 07:02:32,07/25/2020 07:02:38,548.832, ±23.427 ,Survey,Electric,"The formula for calculating noise is based off of the square root of the dispersion constant. This has some use, but I think some consideration needs to be paid to the data being noisy, not Poission noise in measurement. Like the fact the signal is sometimes only a little above baseline, and blends in, so my numbers are sorta guesswork and estimation informed by slightly above normal values."
1,07/25/2020 07:02:32,07/25/2020 07:02:38,582.199, ±24.128 ,Survey,Magnetic,
2,07/25/2020 07:02:38,07/25/2020 07:02:46,1225.284443, ±35.004 ,Survey,Electric,"This whistler is found right after the 7:02:35 one, fainter, ""inside"" the curve"
2,07/25/2020 07:02:38,07/25/2020 07:02:46,1196.744343, ±34.594 ,Survey,Magnetic,
3,07/25/2020 07:02:56,07/25/2020 07:03:12,1744.769162, ±41.770 ,Survey,Electric,
3,07/25/2020 07:02:56,07/25/2020 07:03:12,1731.176911, ±41.607 ,Survey,Magnetic,
4,07/25/2020 07:03:42,07/25/2020 07:03:49,606.2469201, ±24.622 ,Survey,Electric,
4,07/25/2020 07:03:42,07/25/2020 07:03:49,659.9751306, ±25.690 ,Survey,Magnetic,
5,07/25/2020 07:04:39,07/25/2020 07:04:46,588.9521874, ±24.268 ,Survey,Electric,
5,07/25/2020 07:04:39,07/25/2020 07:04:43,423.407606, ±22.154 ,Survey,Magnetic,Signal gets noisy in magnetic fast
6,07/25/2020 07:05:03,07/25/2020 07:05:09,1389.546354, ±37.277 ,Survey,Electric,Noisy Whistler 1
6,07/25/2020 07:05:03,07/25/2020 07:05:08,1372.475836, ±37.047 ,Survey,Magnetic,Noisy Whistler 1
7,07/25/2020 07:05:13,07/25/2020 07:05:17,610.7954, ±24.714 ,Survey,Electric,Noisy Whistler 2 (dispersion constant mag. And ele. Don’t match)(D is between 500 and 800)
7,07/25/2020 07:05:12,07/25/2020 07:05:19,495.3448, ±22.256 ,Survey,Magnetic,Noisy Whistler 2 (dispersion constant mag. And ele. Don’t match)
8,07/25/2020 07:05:28,07/25/2020 07:05:34,1850.302093, ±43.015 ,Survey,Electric,Noisy Whistler 3
457,07/25/2020 07:05:34,07/25/2020 07:05:37,963.09688, ±31.034 ,Survey,Electric,Added in with survey check step
9,07/25/2020 07:05:38,07/25/2020 07:05:42,1979.4521, ±44.491 ,Survey,Electric,Noisy Whistler 4(was D=1475 before check)
10,12/30/2020 22:47:56,12/30/2020 22:48:00,684.5304082, ±26.164 ,Survey,Electric,"Noisy Beginning Whistler, No Magnetic"
11,12/30/2020 22:48:08,12/30/2020 22:48:13,624.3406728, ±24.987 ,Survey,Electric,
11,12/30/2020 22:48:08,12/30/2020 22:48:13,678.7914796, ±26.054 ,Survey,Magnetic,
12,11/03/2019 21:28:05,11/03/2019 21:28:11,596.2194329, ±24.418 ,Survey,Electric,
12,11/03/2019 21:28:06,11/03/2019 21:28:11,646.5585636, ±25.428 ,Survey,Magnetic,
13,11/03/2019 21:28:11,11/03/2019 21:28:15,546.3371981, ±23.374 ,Survey,Electric,
13,11/03/2019 21:28:11,11/03/2019 21:28:15,754.1689364, ±27.462 ,Survey,Magnetic,Partially no data for second 12
14,11/03/2019 21:28:27,11/03/2019 21:28:35,1936.92803, ±44.011 ,Survey,Electric,(was D=1544 before check)
15,11/03/2019 21:29:40,11/03/2019 21:29:46,1174.689325, ±34.274 ,Survey,Electric,
15,11/03/2019 21:29:40,11/03/2019 21:29:46,1090.6783, ±33.025 ,Survey,Magnetic,
16,11/03/2019 21:29:46,11/03/2019 21:29:49,587.6617706, ±24.242 ,Survey,Electric,Data corruption for first second?
